id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Give me a recipe for Italian pasta dish tonight.
5,I'd like a quick meal that can be ready in under 30 minutes.
6,Give me a bougie date night recipe I can make with my partner at home.
7,I have steak hamburger meat chicken and pork. Give me a recipe for a meal that can be ready in under 30 minutes.
8,I need a gluten-free lunch recipe for work tomorrow.
9,What can I make with salmon and asparagus?
10,Give me an easy Mexican dinner recipe for a family of four.
11,I want a healthy vegetarian meal prep recipe for the week.
12,Show me a keto-friendly recipe using ground beef.
13,I have eggs, cheese, and bread. What breakfast can I make?
14,Give me a fancy appetizer recipe for a dinner party.
15,I need a kid-friendly recipe that's also healthy and takes less than 45 minutes.
